img,Interior_Left,Interior_Right,Exterior,Other,Canon_Left,Canon_Right,Grader,New_Extension,labels
169814_1085325.jpg,0,0,0,1,0,0,Lynn,jpg,5
169814_1085328.jpg,0,0,0,1,0,0,Lynn,jpg,5
169855_1085382.jpg,0,0,1,0,0,0,Lynn,jpg,2
169855_1085384.jpg,0,0,0,1,0,0,Lynn,jpg,5
169855_1085388.jpg,0,0,0,1,0,0,Lynn,jpg,5
169855_1085389.jpg,0,0,0,1,0,0,Lynn,jpg,5
169866_1085465.jpg,0,0,0,0,0,1,Lynn,jpg,4
169867_1085472.jpg,0,1,0,0,0,0,Lynn,jpg,1
169867_1085473.jpg,0,0,0,1,0,0,Lynn,jpg,5
169867_1085475.jpg,0,0,1,0,0,0,Lynn,jpg,2
169867_1085477.jpg,1,0,0,0,0,0,Lynn,jpg,0
169883_1085596.jpg,0,0,1,0,0,0,Lynn,jpg,2
169883_1085597.jpg,0,1,0,0,0,0,Lynn,jpg,1
169883_1085599.jpg,0,1,0,0,0,0,Lynn,jpg,1
169883_1085602.jpg,1,0,0,0,0,0,Lynn,jpg,0
169900_1085741.jpg,0,0,1,0,0,0,Lynn,jpg,2
169919_1085893.jpg,0,0,1,0,0,0,Lynn,jpg,2
169919_1085895.jpg,0,0,0,1,0,0,Lynn,jpg,5
169919_1085900.jpg,0,0,0,0,1,0,Lynn,jpg,3
169941_1086059.jpg,0,0,0,0,0,1,Lynn,jpg,4
169941_1086063.jpg,0,0,0,1,0,0,Lynn,jpg,5
169941_1086064.jpg,0,0,0,1,0,0,Lynn,jpg,5
169942_1086072.jpg,0,0,0,1,0,0,Lynn,jpg,5
169970_1086277.jpg,0,0,0,1,0,0,Lynn,jpg,5
169970_1086281.jpg,0,0,0,1,0,0,Lynn,jpg,5
169980_1086345.jpg,0,0,1,0,0,0,Lynn,jpg,2
169980_1086349.jpg,0,0,1,0,0,0,Lynn,jpg,2
169980_1086351.jpg,0,0,0,1,0,0,Lynn,jpg,5
169982_1086381.jpg,0,0,1,0,0,0,Lynn,jpg,2
169982_1086384.jpg,0,0,0,1,0,0,Lynn,jpg,5
169995_1086457.jpg,0,0,0,1,0,0,Lynn,jpg,5
170060_1093650.jpg,0,0,0,1,0,0,Lynn,jpg,5
170100_1086897.jpg,0,0,0,1,0,0,Lynn,jpg,5
170117_1087014.jpg,1,0,0,0,0,0,Lynn,jpg,0
170125_1087081.jpg,0,0,1,0,0,0,Lynn,jpg,2
170136_1087160.jpg,0,0,0,1,0,0,Lynn,jpg,5
170136_1087162.jpg,0,0,0,1,0,0,Lynn,jpg,5
170142_1087209.jpg,0,0,0,1,0,0,Lynn,jpg,5
170206_1087719.jpg,0,0,1,0,0,0,Lynn,jpg,2
170206_1087720.jpg,0,0,0,0,0,1,Lynn,jpg,4
170208_1087735.jpg,0,0,1,0,0,0,Lynn,jpg,2
170209_1087745.jpg,0,0,0,1,0,0,Lynn,jpg,5
170209_1087746.jpg,0,0,0,1,0,0,Lynn,jpg,5
170216_1087799.jpg,0,0,0,1,0,0,Lynn,jpg,5
170216_1087801.jpg,0,0,0,1,0,0,Lynn,jpg,5
170239_1087949.jpg,0,0,1,0,0,0,Lynn,jpg,2
170239_1087952.jpg,0,0,0,0,0,1,Lynn,jpg,4
170240_1087957.jpg,0,0,1,0,0,0,Lynn,jpg,2
170240_1087960.jpg,0,0,0,1,0,0,Lynn,jpg,5
170247_1088007.jpg,0,0,0,1,0,0,Lynn,jpg,5
170247_1088010.jpg,0,0,0,1,0,0,Lynn,jpg,5
170285_1088294.jpg,0,0,0,0,0,1,Lynn,jpg,4
170285_1088296.jpg,0,0,1,0,0,0,Lynn,jpg,2
170310_1088457.jpg,0,0,1,0,0,0,Lynn,jpg,2
170310_1088459.jpg,0,0,0,1,0,0,Lynn,jpg,5
170315_1088491.jpg,0,0,0,1,0,0,Lynn,jpg,5
170315_1088492.jpg,0,0,1,0,0,0,Lynn,jpg,2
170315_1088493.jpg,0,0,0,1,0,0,Lynn,jpg,5
170320_1088532.jpg,1,0,0,0,0,0,Lynn,jpg,0
170331_1088614.jpg,0,0,0,0,1,0,Lynn,jpg,3
170336_1088645.jpg,1,0,0,0,0,0,Lynn,jpg,0
170339_1088665.jpg,0,0,0,1,0,0,Lynn,jpg,5
170355_1088781.jpg,1,0,0,0,0,0,Lynn,jpg,0
170355_1088783.jpg,0,0,0,1,0,0,Lynn,jpg,5
170355_1088784.jpg,0,0,1,0,0,0,Lynn,jpg,2
170384_1089013.jpg,1,0,0,0,0,0,Lynn,jpg,0
170390_1089052.jpg,0,0,0,1,0,0,Lynn,jpg,5
170395_1089089.jpg,0,0,1,0,0,0,Lynn,jpg,2
170395_1089091.jpg,1,0,0,0,0,0,Lynn,jpg,0
170395_1089095.jpg,0,0,0,1,0,0,Lynn,jpg,5
170402_1089143.jpg,0,0,0,1,0,0,Lynn,jpg,5
170402_1089144.jpg,0,0,0,0,0,1,Lynn,jpg,4
170402_1089145.jpg,0,0,1,0,0,0,Lynn,jpg,2
170427_1089314.jpg,0,0,1,0,0,0,Lynn,jpg,2
170427_1089315.jpg,0,0,0,1,0,0,Lynn,jpg,5
170427_1089317.jpg,0,1,0,0,0,0,Lynn,jpg,1
170444_1089447.jpg,0,0,1,0,0,0,Lynn,jpg,2
170444_1089448.jpg,0,0,1,0,0,0,Lynn,jpg,2
170444_1089449.jpg,0,0,0,1,0,0,Lynn,jpg,5
170448_1089478.jpg,0,0,0,1,0,0,Lynn,jpg,5
170457_1089541.jpg,0,0,0,1,0,0,Lynn,jpg,5
170457_1089542.jpg,0,0,0,1,0,0,Lynn,jpg,5
170508_1089933.jpg,0,0,0,1,0,0,Lynn,jpg,5
170514_1089977.jpg,0,0,1,0,0,0,Lynn,jpg,2
170514_1089980.jpg,0,0,0,1,0,0,Lynn,jpg,5
170521_1090034.jpg,0,0,0,1,0,0,Lynn,jpg,5
170541_1090193.jpg,0,0,0,1,0,0,Lynn,jpg,5
170545_1090223.jpg,0,0,0,1,0,0,Lynn,jpg,5
170545_1090225.jpg,0,0,0,0,1,0,Lynn,jpg,3
170545_1090227.jpg,0,0,0,1,0,0,Lynn,jpg,5
170612_1090679.jpg,0,0,1,0,0,0,Lynn,jpg,2
170612_1090683.jpg,0,0,0,1,0,0,Lynn,jpg,5
170631_1090834.jpg,0,0,1,0,0,0,Lynn,jpg,2
170631_1090835.jpg,0,1,0,0,0,0,Lynn,jpg,1
170631_1090839.jpg,0,0,0,1,0,0,Lynn,jpg,5
170631_1090840.jpg,0,0,0,1,0,0,Lynn,jpg,5
170643_1090927.jpg,0,0,0,1,0,0,Lynn,jpg,5
170643_1090930.jpg,0,0,0,1,0,0,Lynn,jpg,5
170643_1090932.jpg,0,0,0,0,1,0,Lynn,jpg,3
170643_1090933.jpg,0,0,1,0,0,0,Lynn,jpg,2
170651_1090990.jpg,0,0,1,0,0,0,Lynn,jpg,2
170651_1090994.jpg,0,0,1,0,0,0,Lynn,jpg,2
170651_1090995.jpg,0,0,0,0,1,0,Lynn,jpg,3
170670_1091141.jpg,0,0,1,0,0,0,Lynn,jpg,2
170670_1091146.jpg,0,0,0,0,1,0,Lynn,jpg,3
170693_1091308.jpg,0,0,1,0,0,0,Lynn,jpg,2
170701_1091373.jpg,0,0,0,1,0,0,Lynn,jpg,5
170701_1091374.jpg,0,0,0,1,0,0,Lynn,jpg,5
170701_1091375.jpg,0,0,0,1,0,0,Lynn,jpg,5
170703_1091389.jpg,0,0,1,0,0,0,Lynn,jpg,2
170857_1092253.jpg,0,0,0,1,0,0,Lynn,jpg,5
170857_1092259.jpg,0,0,0,1,0,0,Lynn,jpg,5
170894_1092531.jpg,0,0,1,0,0,0,Lynn,jpg,2
170894_1092533.jpg,0,0,0,0,0,1,Lynn,jpg,4
170894_1092535.jpg,0,0,1,0,0,0,Lynn,jpg,2
170919_1092696.jpg,0,0,0,1,0,0,Lynn,jpg,5
171052_1093017.jpg,0,1,0,0,0,0,Lynn,jpg,1
171052_1093019.jpg,1,0,0,0,0,0,Lynn,jpg,0
171061_1093084.jpg,0,1,0,0,0,0,Lynn,jpg,1
171062_1093095.jpg,0,0,1,0,0,0,Lynn,jpg,2
171062_1093097.jpg,0,0,0,1,0,0,Lynn,jpg,5
171063_1093101.jpg,1,0,0,0,0,0,Lynn,jpg,0
171063_1093106.jpg,0,0,0,0,1,0,Lynn,jpg,3
171072_1093172.jpg,0,0,1,0,0,0,Lynn,jpg,2
171090_1093315.jpg,0,1,0,0,0,0,Lynn,jpg,1
171090_1093316.jpg,0,1,0,0,0,0,Lynn,jpg,1
171092_1093327.jpg,0,0,1,0,0,0,Lynn,jpg,2
171092_1093332.jpg,0,0,0,1,0,0,Lynn,jpg,5
171092_1093333.jpg,0,0,0,1,0,0,Lynn,jpg,5
171095_1093353.jpg,0,0,0,1,0,0,Lynn,jpg,5
171095_1093355.jpg,1,0,0,0,0,0,Lynn,jpg,0
171100_1093389.jpg,0,1,0,0,0,0,Lynn,jpg,1
171100_1093393.jpg,1,0,0,0,0,0,Lynn,jpg,0
171118_1093513.jpg,0,0,1,0,0,0,Lynn,jpg,2
171223_1093981.jpg,0,0,0,1,0,0,Lynn,jpg,5
171240_1094086.jpg,1,0,0,0,0,0,Lynn,jpg,0
171240_1094088.jpg,1,0,0,0,0,0,Lynn,jpg,0
171240_1094090.jpg,0,0,0,1,0,0,Lynn,jpg,5
171249_1094156.jpg,0,1,0,0,0,0,Lynn,jpg,1
171249_1094162.jpg,0,0,0,1,0,0,Lynn,jpg,5
171258_1094227.jpg,0,0,1,0,0,0,Lynn,jpg,2
171258_1094232.jpg,0,0,0,0,1,0,Lynn,jpg,3
171279_1094403.jpg,0,0,0,0,0,1,Lynn,jpg,4
171305_1094595.jpg,0,0,1,0,0,0,Lynn,jpg,2
171305_1094597.jpg,0,0,0,0,0,1,Lynn,jpg,4
171305_1094602.jpg,0,0,0,0,1,0,Lynn,jpg,3
171309_1094627.jpg,0,0,1,0,0,0,Lynn,jpg,2
171309_1094629.jpg,0,0,0,1,0,0,Lynn,jpg,5
171309_1094634.jpg,0,0,0,1,0,0,Lynn,jpg,5
171319_1094700.jpg,0,0,0,1,0,0,Lynn,jpg,5
171319_1094703.jpg,1,0,0,0,0,0,Lynn,jpg,0
171345_1094875.jpg,0,0,1,0,0,0,Lynn,jpg,2
171345_1094876.jpg,0,0,0,0,0,1,Lynn,jpg,4
